subject,doc_num,type,info_num,name,num,exp,imp,date
"ТОВ ""Сучасні технолології""",10385/10-16 від 22.04.2016,експорт,UA 000 433,"шлак,шлам,що містить переважно мідь",1000 т,"ТОВ ""Сучасні технолології""",Siegfried Jacob Metallwerke GmbH (Німеччина),22.06.2016
"ТОВ ""Інтертрейд крейшн""",20446/10-16 від 16.08.2016,експорт,UA 000 434,"шлак,шлам,що містить переважно мідь",1100 т,"ТОВ ""Інтертрейд крейшн""",Siegfried Jacob Metallwerke GmbH(Німеччина),26.08.2016
Міністерство оборони Республіки Молдова,14522/7-16 від 14.06.2020,транзит,MD-131,змішані відходи пестицидів та забруднених упаковок,800 т,Міністерство оборони Республіки Молдова,Sapri Dabrova Gornicza Sp.z.o.o. (Польща),30.08.2016
Міністерство оборони Республіки Молдова,14522/7-16 від 14.06.2020,транзит,MD-132,тара забруднена токсичними речовинами,80 т,Міністерство оборони Республіки Молдова,Sapri Dabrova Gornicza Sp.z.o.o. (Польща),30.08.2016
"ТОВ ""Інтертрейд крейшн""",24674/10-16 від 05.10.2016,експорт,UA 000 435,"шлак,шлам,що містить переважно мідь",2200 т,"ТОВ ""Інтертрейд крейшн""",Siegfried Jacob Metallwerke GmbH(Німеччина),24.10.2016
"ТОВ ""Екотехнологія""",22813/10-16 від 13.09.2016,експорт,UA 000 436,"шлак, зола, що містить мідь",1000 т,"ТОВ ""Екотехнологія""",Siegfried Jacob Metallwerke GmbH(Німеччина),16.11.2016
"ТОВ ""РЕНАК""",28020/10-16 від 07.11.2016,експорт,UA 000 437,шлак мідний,1000 т,"ТОВ ""РЕНАК""",Siegfried Jacob Metallwerke GmbH(Німеччина),11.01.2017
"ТОВ ""Екологічні інвестиції""",28.12.2016 № 32188/10-16,експорт,UA 000 438,"відпрацьовані акумулятори, що містять свинець",1500 т,"ТОВ ""Екологічні інвестиції""","АТ ""РОМБАТ"" (РУМУНІЯ)",24.01.2017
Міністерство ОНПС Республіки Молдова,№ 31418/7-16 від 20.12.2016,транзит,MD-170,агрохімічні відходи,270 т,Міністерство ОНПС Республіки Молдова,FUH.EKO-TOP SP.Z.O.O.,02.02.2017
"ТОВ ""Екологічні інвестиції""",27199/10-16 від 28.12.2016,експорт,UA 000 438,"відпрацьовані акумулятори, що містять свинець",1500 т,"ТОВ ""Екологічні інвестиції""","АТ ""РОМБАТ"" (РУМУНІЯ)",15.02.2017
"ТОВ ""СП СВИНЕЦЬ""",28403/10-16 від 16.11.2016,імпорт,UA 000 439і,"відпрацьовані акумулятори, що містять свинець",1550 кг,"АО ""METALFEROS"" (Молдова)","ТОВ ""СП СИНЕЦЬ""",21.02.2017
"ТОВ ""СП ЕКОМЕТАЛ""",2834/10-17 від 02.02.2017,експорт,UA 000 440,"шлак,зола та залишки, що містять мідь",1000 т,"ТОВ ""СП ЕКОМЕТАЛ""",Siegfried Jacob Metallwerke GmbH(Німеччина),01.03.2017
"ТОВ ""ІНТЕРТРЕЙДКРЕШН""",4758/10-17 від 21.02.2017,експорт,UA 000 441,"шлак,шлам,що містить переважно мідь",4600 т,"ТОВ ""ІНТЕРТРЕЙДКРЕШН""",Siegfried Jacob Metallwerke GmbH(Німеччина),06.03.2017
Міністерство ОНПС Республіки Молдова,3386/7-17 від 08.02.2017,транзит,MD-171,непридатні пестициди,170 т,Міністерство ОНПС Республіки Молдова,AVG MBH (Німеччина),23.03.2017
"ТОВ ""МЕГАТЕКС""",6929/10-17 від 15.03.2017,імпорт,UA 000 442і,відходи свинцевих акумуляторів,1000 т,"АО ""METALFEROS"" (Молдова)","ТОВ ""МЕГАТЕКС""",03.04.2017
"ТОВ ""СП ЕКОМЕТАЛ""",23124/10-16 від 12.09.2017,експорт,UA 000 443,"шлак,зола та залишки, що містять мідь",2000 т,"ТОВ ""СП ЕКОМЕТАЛ""",Siegfried Jacob Metallwerke GmbH(Німеччина),20.10.2017
"ТОВ ""МЕГАТЕКС""",27236/10-17 від 30.10.2017,імпорт,UA 000 444і,брухт та відходи свинцевих акумуляторних батарей,3000 т,"АО ""METALFEROS"" (Молдова)","ТОВ ""МЕГАТЕКС""",04.12.2017
"ТОВ ""СП СВИНЕЦЬ""",30402/10-17 від 28.11.2017,імпорт,UA 000 445і,брухт та відходи свинцевих акумуляторних батарей,1700 т,"АО ""METALFEROS"" (Молдова)","ТОВ ""СП СИНЕЦЬ""",14.12.2017
"ТОВ ""РЕНАК""",33350/10-17 від 26.12.2017,експорт,UA 000 446,шлак мідний,1000 т,"ТОВ ""РЕНАК""",Siegfried Jacob Metallwerke GmbH(Німеччина),29.12.2017
"ПП ""ПОЛІМЕТ""",6243/10-18 від 02.03.2018,експорт,UA 000 448,шлак мідний,800 т,"ПП ""ПОЛІМЕТ""",Siegfried Jacob Metallwerke GmbH(Німеччина),15.03.2018
Міністерство ОНПС Республіки Молдова,28952/10-17 від 14.11.2017,транзит,MD-212,змішані відходи пестицидів та забруднених упаковок,400 т,Міністерство ОНПС Республіки Молдова,Sapri Dabrova Gornicza Sp.z.o.o. (Польща),16.02.2018
"ТОВ ""Сучасні технології""",6246/10-18 від 02.03.2018,експорт,UA 000 447,шлак мідєвмістний,1 000 т,"ТОВ ""Сучасні технології""",Siegfried Jacob Metallwerke GmbH(Німеччина),07.03.2018
"ТОВ ""СП ЕКОМЕТАЛ""",24580/10-18 від 28.08.2020,експорт,UA 000 449,"шлак,зола та залишки, що містять мідь",2000 т,"ТОВ ""СП ЕКОМЕТАЛ""",Siegfried Jacob Metallwerke GmbH(Німеччина),19.10.2018
"ТОВ ""МЕГАТЕКС""",22505/10-18 від 07.08.2018,імпорт,UA 000 450і,брухт та відходи свинцевих акумуляторних батарей,500 т,NWS Glolal Invesment Limited (Нігерія),"ТОВ ""МЕГАТЕКС""",05.10.2018
"ТОВ ""РЕНАК""",30572/1-10-18 від 24.10.2018,експорт,UA 000 451,шлак мідний,1 000 т,"ТОВ ""РЕНАК""",Siegfried Jacob Metallwerke GmbH(Німеччина),21.12.2018
"ТОВ ""МЕГАТЕКС""",32498/10-18 від 13.11.2018,імпорт,UA 000 452і,брухт та відходи свинцевих акумуляторних батарей,3 000 т,"АО ""METALFEROS"" (Молдова)","ТОВ ""МЕГАТЕКС""",29.12.2018
"ТОВ ""СП СВИНЕЦЬ""",37134/10-18 від 27.12.2018,імпорт,UA 000 453і,"відпрацьовані акумулятори, що містять свинець",1700 т,"АО ""METALFEROS"" (Молдова)","ТОВ ""СП СВИНЕЦЬ""",14.01.2019
"ТОВ ""ПРІСТА РІСАЙКЛІН Україна""",679/10-19 від 09.01.2019,імпорт,UA 000 454і,відпрацьовані оливи (масла),9 000 т,ППД-ГІТ,"ТОВ ""ПРІСТА РІСАЙКЛІН Україна""",08.02.2019
"ТОВ ""УКРБІОЕКОЛОГІЯ""",15874/10-19 від 22.05.2019,експорт,UA 000 456,відпрацьовані батарейки,150 т,"ТОВ ""УКРБІОЕКОЛОГІЯ""","МВ ""Recyclng Sp.zo.o.",22.07.2019
"ТОВ ""Сучасні технології""",9258/10-18 від 26.03.2019,експорт,UA 000 457,мідєвмісний шлак,1000 т,"ТОВ ""Сучасні технології""",Siegfried Jacob Metallwerke GmbH(Німеччина),28.08.2019
"ТОВ ""СІГМАС ЕКОЛОДЖИ""",26414/10-19 від 23.08.2019,експорт,UA 000 458,"агрохімічні відходи, що містять СОЗ",1500 т,"ТОВ ""СІГМАС ЕКОЛОДЖИ""",Tredi (Франція),30.08.2019
"ТОВ ""МЕГАТЕКС""",26071/10-19 від 21.08.2019,імпорт,UA 000 459і,відпрацьовані акумулятори свинц.пластин,1000 т,Chiwet Resourses (Нігерія),"ТОВ ""МЕГАТЕКС""",08.11.2019
"ТОВ ""Екологічні інвестиції""",28131/10-19 від 11.09.2019,експорт,UA 000 460,несортовані відпрацьовні батареї,200 т,"ТОВ ""Екологічні інвестиції""",Green Weee International SA (Румунія),22.11.2019
"ТОВ ""СП ЕКОМЕТАЛ""",12вх/254-19 від 26.12.2019,експорт,UA 000 461,"шлак,зола та залишки, що містять мідь",2000 т,"ТОВ ""СП ЕКОМЕТАЛ""",Siegfried Jacob Metallwerke GmbH(Німеччина),27.12.2019
"ДП ""БОДНАРІВКА""",29078/10-19 від 19.09.2019,експорт,UA 000 462,змішані відпрацьовані батареї,18 500 кг,"ДП ""БОДНАРІВКА""","ТзОВ ""Eneris Recupyl""",27.12.2019
"ТОВ ""МЕГАТЕКС""",12вх/59-19 від 26.11.2019,імпорт,UA 000 463і,відпрацьовані свинцеві акумулятори,3000 т,"АО ""METALFEROS"" (Молдова)","ТОВ ""МЕГАТЕКС""",14.01.2020
"ТОВ ""СП СВИНЕЦЬ""",1/16/2125-20 від 14.01.2020,імпорт,UA 000 464і,відпрацьовані свинцеві акумулятори,1500 т,"АО ""METALFEROS"" (Молдова)","ТОВ ""СП СВИНЕЦЬ""",24.02.2020
"ПП ""ПОЛІМЕТ""",1/16/6345-20 від 03.02.2020,експорт,UA 000 465,шлак мідний,800 т,"ПП ""ПОЛІМЕТ""",Siegfried Jacob Metallwerke GmbH(Німеччина),27.02.2020
Міністерство ОНПС Республіки Молдова,2737/10/20 від 21.07.2020,транзит,MD-46,змішані пестициди,600 т,Міністерство ОНПС Республіки Молдова,AVG Abfall Verwertungs (Німеччина),26.08.2020
"ТОВ ""СП СВИНЕЦЬ""",4957/10/20 від 03.08.2020,імпорт,UA 000 466і,відпрацьовані свинцеві акумулятори,1000 т,Maximum Auto SRL (Молдова),"ТОВ ""СП СВИНЕЦЬ""",03.10.2020
ТОВ КЗМО,5664/10/20 від 05.08.2020,експорт,UA 000 467,мідєвмісний шлам,260 т,ТОВ КЗМО,Siegfried Jacob Metallwerke GmbH(Німеччина),05.10.2020
"ТОВ ""СП ЕКОМЕТАЛ""",6691/10/20 від 12.08.2020,експорт,UA 000 468,"шлак, що містить мідь",2 000 т,"ТОВ ""СП ЕКОМЕТАЛ""",Siegfried Jacob Metallwerke GmbH(Німеччина),12.10.2020
"ТОВ ""Екологічні інвестиції""",8987/10/20 від 31.08.2020,експорт,UA 000 469,несортовані відпрацьовні батареї,300 т,"ТОВ ""Екологічні інвестиції""",Green Weee International SA (Румунія),30.10.2020
"ТОВ ""МЕГАТЕКС""",10179/10/20 від 09.09.2020,імпорт,UA 000 470і,відпрацьовані акумулятори свинц.пластин,500 т,Chiwet Resourses (Нігерія),"ТОВ ""МЕГАТЕКС""",09.11.2020
"ТОВ ""СП СВИНЕЦЬ""",12171/10/20 від 23.09.2020,імпорт,UA 000 471і,відпрацьовані свинцеві акумулятори,1000 т,S.C. Elimental S.R.L.,"ТОВ ""СП СВИНЕЦЬ""",09.11.2020
"ТОВ ""СІГМАС ЕКОЛОДЖИ""",11240/10/20 від 16.09.2020,експорт,UA 000 472,пестициди,1500 т,"ТОВ ""СІГМАС ЕКОЛОДЖИ""",Tredi (Франція),16.11.2020
"ТОВ ""МЕГАТЕКС""",20558/10/20 від 19.11.2020,імпорт,UA 000 473і,брухт та відходи свинцевих акумуляторних батарей,3000 т,"АО ""METALFEROS"" (Молдова)","ТОВ ""МЕГАТЕКС""",14.12.2020
"ТОВ ""ЕНЕРГОТЕХ""",9628/10/20 від 04.09.2020,імпорт,UA 000 474і,промислові відходи пластику,15 000 т,FCL AMBIENTE (Італія),"ТОВ ""ЕНЕРГОТЕХ""",15.12.2020
"ТОВ ""СП СВИНЕЦЬ""",25613/10/20 від 28.12.2020,імпорт,UA 000 475і,відпрацьовані акумулятори свинцеві,2300 т,"АО ""METALFEROS"" (Молдова)","ТОВ ""СП СВИНЕЦЬ""",13.01.2021
"ДП ""БОДНАРІВКА""",22382/10/20 від 03.12.2020,експорт,UA 000 476,змішані відпрацьовані батареї,100 000 кг,"ДП ""БОДНАРІВКА""","ТзОВ ""Eneris Recupyl""(Польща)",13.01.2021
