subject,doc_num,type,info_num,name,num,exp,imp,date
"ТОВ ""МЕГАТЕКС""",05.03.2015 № 5335/10-15,імпорт,UA 000 422і,брухт та відходи свинцевих акумуляторних батарей,1 000 т,"АО ""METALFEROS"" (Молдова)","ТОВ ""МЕГАТЕКС""",24.03.2015
"ТОВ ""МЕГАТЕКС""",18.02.2015 № 3878/10-15,імпорт,UA 000 423і,відходи свинцю та свинцевих сплавів,18720 кг,"ВАТ ""БЕЛЦВЕТМЕТ"" (Білорусь)","ТОВ ""МЕГАТЕКС""",02.04.2015
"ПАТ ""АЗОКМ""",24.02.2015 № 4373/10-15,експорт,UA 000 424,"шлак, що містить мідь",1250 т,"ПАТ ""АЗОКМ""",Grass AFGmbH,15.04.2015
"ПАТ ""АЗОКМ""",24.02.2015 № 4375/10-15,експорт,UA 000 425,"шлак, що містить мідь",1250 т,"ПАТ ""АЗОКМ""",Siegfried Jacob Metallwerke GmbH,15.04.2015
"ТОВ ""СП ЕКОМЕТАЛ""",24.03.2015 № 7054/10-15,експорт,UA 000 426,"шлак, що містить мідь",500 т,"ТОВ ""СП ЕКОМЕТАЛ""",Siegfried Jacob Metallwerke GmbH,20.04.2015
"ТОВ ""РЕНАК""",16.12.2015 № 31206/10-15,експорт,UA 000 427,залишки металургійної обробки брухту міді,1000 т,"ТОВ ""РЕНАК""",Siegfried Jacob Metallwerke GmbH,17.12.2015
"ПАТ ""СВИНЕЦЬ""",290/10-16 від 06.01.2015,імпорт,UA 000 428і,"відпрацьовані акумулятори, що містять свинець",2 000 т,"АО ""METALFEROS"" (Молдова)","ПАТ ""СВИНЕЦЬ""",20.01.2016
"ТОВ ""МЕГАТЕКС""",21.01.2015 № 31563/10-15,імпорт,UA 000 429 і,відходи свинцю та свинцевих сплавів,1000 т,"АО ""METALFEROS"" (Молдова)","ТОВ ""МЕГАТЕКС""",21.01.2016
"ТОВ ""Екологічні інвестиції""",02.02.2015 № 2725/10-16,експорт,UA 000 430,"відпрацьовані акумулятори, що містять свинець",1000 т,"ТОВ ""Екологічні інвестиції""","АТ ""РОМБАТ"" (РУМУНІЯ)",11.03.2016
"ТОВ ""Інтертрейд крейшн""",№ 1682/10-16 від 22.01.2016,експорт,UA 000 431,"шлак,шлам,що містить переважно мідь",220 т,"ТОВ ""Інтертрейд крейшн""",Siegfried Jacob Metallwerke GmbH (Німеччина),11.03.2016
"ТОВ ""СП ЕКОМЕТАЛ""",11429/10-16 від 06.05.2016,експорт,UA 000 432,"шлак,шлам,що містить переважно мідь",500 т,"ТОВ ""СП ЕКОМЕТАЛ""",Siegfried Jacob Metallwerke GmbH (Німеччина),21.06.2016
