№ з/п,Код за ЄДРПОУ балансоутримувача,Повне найменування балансоутримувача,Місцезнаходження балансоутримувача,Код суб'єкта управління майном,Назва суб'єкта управління майном,"Кількість нерухомого державного майна (будівель та споруд), крім майна, розташованого на території АР Крим тв м. Севастополя"
792,05537452,РЕГІОНАЛЬНИЙ ЦЕНТР ПРОФЕСІЙНО-ТЕХНІЧНОЇ ОСВІТИ М. ЗІНЬКІВ,"38100 ПОЛТАВСЬКА ОБЛ., ЗІНЬКІВСЬКИЙ Р-Н, М.ЗІНЬКІВ, ВУЛ.ВОЗДВИЖЕНСЬКА, БУД. 82",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,53
793,05537466,ПРОФЕСІЙНО-ТЕХНІЧНЕ УЧИЛИЩЕ №26 М.КРЕМЕНЧУКА,"39601 ПОЛТАВСЬКА ОБЛ., М.КРЕМЕНЧУК, КРЮКІВСЬКИЙ Р-Н, ВУЛ.ЧКАЛОВА, БУД. 4",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,27
794,05537472,ПРОФЕСІЙНО-ТЕХНІЧНЕ УЧИЛИЩЕ №27 М.ЛОХВИЦЯ,"37200 ПОЛТАВСЬКА ОБЛ., ЛОХВИЦЬКИЙ Р-Н, М.ЛОХВИЦЯ, ВУЛ.ГЕРОЇВ УКРАЇНИ, БУД. 49",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,9
795,05537503,ВИЩЕ ПРОФЕСІЙНЕ УЧИЛИЩЕ №29 СМТ.ВОЛОДИМИРЕЦЬ,"34300 РІВНЕНСЬКА ОБЛ., ВОЛОДИМИРЕЦЬКИЙ Р-Н, СМТ ВОЛОДИМИРЕЦЬ, ВУЛ.КИЇВСЬКА, БУД. 49",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,26
796,05537517,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ДУБЕНСЬКЕ ВИЩЕ ХУДОЖНЄ ПРОФЕСІЙНО-ТЕХНІЧНЕ УЧИЛИЩЕ""","35600 РІВНЕНСЬКА ОБЛ., М.ДУБНО, ВУЛ.ШАШКЕВИЧА, БУД. 3",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,11
797,05537526,"ДЕРЖАВНИЙ ПРОФЕСІЙНО-ТЕХНІЧНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ШОСТКИНСЬКЕ ВИЩЕ ПРОФЕСІЙНЕ УЧИЛИЩЕ""","41100 СУМСЬКА ОБЛ., М.ШОСТКА, ВУЛ.ВОРОНЕЗЬКА, БУД. 38",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,13
798,05537555,"ДЕРЖАВНИЙ ПРОФЕСІЙНО-ТЕХНІЧНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""КОНОТОПСЬКЕ ПРОФЕСІЙНО-ТЕХНІЧНЕ УЧИЛИЩЕ""","41600 СУМСЬКА ОБЛ., М.КОНОТОП, ВУЛ.БУДІВЕЛЬНИКІВ, БУД. 24",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,8
799,05537561,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ОХТИРСЬКИЙ ЦЕНТР ПРОФЕСІЙНО-ТЕХНІЧНОЇ ОСВІТИ""","42700 СУМСЬКА ОБЛ., М.ОХТИРКА, ВУЛ.НЕЗАЛЕЖНОСТІ, БУД. 17",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,104
800,05537590,"ДЕРЖАВНИЙ ПРОФЕСІЙНО-ТЕХНІЧНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""НЕДРИГАЙЛІВСЬКЕ ВИЩЕ ПРОФЕСІЙНЕ УЧИЛИЩЕ""","42100 СУМСЬКА ОБЛ., НЕДРИГАЙЛІВСЬКИЙ Р-Н, СМТ НЕДРИГАЙЛІВ, ВУЛ.ШМІДТА, БУД. 28",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,16
801,05537377,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ОДЕСЬКИЙ ЦЕНТР ПРОФЕСІЙНО-ТЕХНІЧНОЇ ОСВІТИ""","67801 ОДЕСЬКА ОБЛ., ОВІДІОПОЛЬСЬКИЙ Р-Н, СМТ ОВІДІОПОЛЬ, ВУЛ.ТЕАТРАЛЬНА, БУД. 3",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,36
802,05537638,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""РЕГІОНАЛЬНИЙ ЦЕНТР ПРОФЕСІЙНОЇ ОСВІТИ ШВЕЙНОГО ВИРОБНИЦТВА ТА СФЕРИ ПОСЛУГ ХАРКІВСЬКОЇ ОБЛАСТІ""","61020 М.ХАРКІВ, НОВОБАВАРСЬКИЙ Р-Н, ПРОСП.ЛЮБОВІ МАЛОЇ, БУД. 30",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,12
803,05537354,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ОДЕСЬКИЙ ПРОФЕСІЙНИЙ ЛІЦЕЙ МОРСЬКОГО ТРАНСПОРТУ""","65026 М.ОДЕСА, ПРИМОРСЬКИЙ Р-Н, ВУЛ.ПРИМОРСЬКА, БУД. 45",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,31
804,05537696,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""БЕРИСЛАВСЬКИЙ ПРОФЕСІЙНИЙ АГРАРНИЙ ЛІЦЕЙ""","74370 ХЕРСОНСЬКА ОБЛ., БЕРИСЛАВСЬКИЙ Р-Н, С-ЩЕ ЧЕРВОНИЙ МАЯК, ВУЛ.ЦЕНТРАЛЬНА, БУД. 1Б",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,19
805,21263459,ХАРКІВСЬКИЙ РЕСПУБЛІКАНСЬКИЙ ЛІЦЕЙ-ІНТЕРНАТ СПОРТИВНОГО ПРОФІЛЮ,"61099 М.ХАРКІВ, НЕМИШЛЯНСЬКИЙ Р-Н, ПРОСП.МОСКОВСЬКИЙ, БУД. 246-А",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,1
806,05537727,ШЕПЕТІВСЬКИЙ ПРОФЕСІЙНИЙ ЛІЦЕЙ,"30400 ХМЕЛЬНИЦЬКА ОБЛ., М.ШЕПЕТІВКА, ПРОСП.МИРУ, БУД. 23",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,8
807,21188189,ХАРКІВСЬКИЙ МЕХАНІЧНИЙ ТЕХНІКУМ ІМ. О.О.МОРОЗОВА,"61036 М.ХАРКІВ, СЛОБІДСЬКИЙ Р-Н, ВУЛ.МОРОЗОВА, БУД. 4/1",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,6
808,05537756,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ЛІСОВОДСЬКИЙ ПРОФЕСІЙНИЙ АГРАРНИЙ ЛІЦЕЙ""","32046 ХМЕЛЬНИЦЬКА ОБЛ., ГОРОДОЦЬКИЙ Р-Н, С.ЛІСОВОДИ, ВУЛ.СУГЕРОВА, БУД. 2",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,62
809,21188157,ХАРКІВСЬКИЙ РАДІОТЕХНІЧНИЙ КОЛЕДЖ,"61057 М.ХАРКІВ, КИЇВСЬКИЙ Р-Н, ВУЛ.СУМСЬКА, БУД. 18/20",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,7
810,05537816,ЧЕРКАСЬКИЙ ХУДОЖНЬО-ТЕХНІЧНИЙ КОЛЕДЖ,"18029 М.ЧЕРКАСИ, СОСНІВСЬКИЙ Р-Н, ВУЛ.СУМГАЇТСЬКА, БУД. 13",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,5
811,05537822,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ЧЕРКАСЬКЕ ВИЩЕ ПРОФЕСІЙНЕ УЧИЛИЩЕ""","18030 М.ЧЕРКАСИ, ПРИДНІПРОВСЬКИЙ Р-Н, ВУЛ.ПОДОЛІНСЬКОГО, БУД. 20",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,13
812,05537839,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ЧЕРКАСЬКИЙ ПРОФЕСІЙНИЙ АВТОДОРОЖНІЙ ЛІЦЕЙ""","18034 М.ЧЕРКАСИ, СОСНІВСЬКИЙ Р-Н, ВУЛ.ОНОПРІЄНКА, БУД. 4",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,7
813,05537845,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""МОНАСТИРИЩЕНСЬКИЙ ПРОФЕСІЙНИЙ ЛІЦЕЙ""","19100 ЧЕРКАСЬКА ОБЛ., МОНАСТИРИЩЕНСЬКИЙ Р-Н, М.МОНАСТИРИЩЕ, ВУЛ.СОБОРНА, БУД. 129",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,13
814,21156143,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ШУМСЬКЕ ПРОФЕСІЙНО-ТЕХНІЧНЕ УЧИЛИЩЕ""","47100 ТЕРНОПІЛЬСЬКА ОБЛ., ШУМСЬКИЙ Р-Н, М.ШУМСЬК, ВУЛ.ВОЛИНСЬКА, БУД. 8А",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,11
815,05537609,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ХАРКІВСЬКЕ ВИЩЕ ПРОФЕСІЙНЕ УЧИЛИЩЕ №6""","61036 М.ХАРКІВ, СЛОБІДСЬКИЙ Р-Н, ВУЛ.МУХАЧОВА, БУД. 1",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,22
816,21295206,ОЛЕШКІВСЬКИЙ ПРОФЕСІЙНИЙ ЛІЦЕЙ,"75100 ХЕРСОНСЬКА ОБЛ., ОЛЕШКІВСЬКИЙ Р-Н, М.ОЛЕШКИ, ВУЛ.ПРОМИСЛОВА, БУД. 1",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,5
817,05536797,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""КИЇВСЬКИЙ ПРОФЕСІЙНИЙ КОЛЕДЖ З ПОСИЛЕНОЮ ВІЙСЬКОВОЮ ТА ФІЗИЧНОЮ ПІДГОТОВКОЮ""","1032 М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ Р-Н, БУЛ.ТАРАСА ШЕВЧЕНКА, БУД. 56",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,17
818,05536917,ДРОГОБИЦЬКИЙ ПРОФЕСІЙНИЙ ПОЛІТЕХНІЧНИЙ ЛІЦЕЙ,"82100 ЛЬВІВСЬКА ОБЛ., М.ДРОГОБИЧ, ВУЛ.ПУШКІНА, БУД. 20",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,6
819,05536923,ВИЩЕ ПРОФЕСІЙНЕ УЧИЛИЩЕ №20 М. ЛЬВОВА,"79052 М.ЛЬВІВ, ЗАЛІЗНИЧНИЙ Р-Н, ВУЛ.ШИРОКА, БУД. 83",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,11
820,05536946,"ДЕРЖАВНИЙ ПРОФЕСІЙНО-ТЕХНІЧНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ЧЕРВОНОГРАДСЬКИЙ ПРОФЕСІЙНИЙ ГІРНИЧО-БУДІВЕЛЬНИЙ ЛІЦЕЙ""","80100 ЛЬВІВСЬКА ОБЛ., М.ЧЕРВОНОГРАД, ВУЛ.ВАСИЛЯ СТУСА, БУД. 15",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,11
821,05536952,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ЛЬВІВСЬКЕ ВИЩЕ ПРОФЕСІЙНЕ УЧИЛИЩЕ ДИЗАЙНУ ТА БУДІВНИЦТВА""","79035 М.ЛЬВІВ, СИХІВСЬКИЙ Р-Н, ВУЛ.ПИМОНЕНКА, БУД. 15",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,10
822,05536969,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""НОВОЯВОРІВСЬКЕ ВИЩЕ ПРОФЕСІЙНЕ УЧИЛИЩЕ""","81053 ЛЬВІВСЬКА ОБЛ., ЯВОРІВСЬКИЙ Р-Н, М.НОВОЯВОРІВСЬК, ВУЛ.ШЕВЧЕНКА, БУД. 20",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,10
823,05536975,"ДЕРЖАВНИЙ ПРОФЕСІЙНО-ТЕХНІЧНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""МИКОЛАЇВСЬКИЙ ПРОФЕСІЙНИЙ ЛІЦЕЙ""","81600 ЛЬВІВСЬКА ОБЛ., МИКОЛАЇВСЬКИЙ Р-Н, М.МИКОЛАЇВ, ВУЛ.УСТИЯНОВИЧА, БУД. 39",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,10
824,05537012,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ЛЬВІВСЬКЕ ВИЩЕ ПРОФЕСІЙНЕ УЧИЛИЩЕ ПОБУТОВОГО ОБСЛУГОВУВАННЯ""","79017 М.ЛЬВІВ, ЛИЧАКІВСЬКИЙ Р-Н, ВУЛ.ЙОСИПА СЛІПОГО, БУД. 33",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,10
825,05537041,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ЛЬВІВСЬКЕ МІЖРЕГІОНАЛЬНЕ ВИЩЕ ПРОФЕСІЙНЕ УЧИЛИЩЕ ЗАЛІЗНИЧНОГО ТРАНСПОРТУ ""","79052 М.ЛЬВІВ, ЗАЛІЗНИЧНИЙ Р-Н, ВУЛ.ІВАННИ БЛАЖКЕВИЧ, БУД. 14",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,3
826,05537087,"ДЕРЖАВНИЙ ПРОФЕСІЙНО-ТЕХНІЧНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""МІЖРЕГІОНАЛЬНЕ ВИЩЕ ПРОФЕСІЙНЕ УЧИЛИЩЕ АВТОМОБІЛЬНОГО ТРАНСПОРТУ ТА БУДІВНИЦТВА""","79071 М.ЛЬВІВ, ФРАНКІВСЬКИЙ Р-Н, ВУЛ.ІВАНА ПУЛЮЯ, БУД. 28",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,15
827,05537398,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ІЛЛІЧІВСЬКИЙ ПРОФЕСІЙНИЙ СУДНОРЕМОНТНИЙ ЛІЦЕЙ""","68000 ОДЕСЬКА ОБЛ., М.ЧОРНОМОРСЬК, ВУЛ.ПЕРЕМОГИ, БУД. 93",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,13
828,05537153,"ДЕРЖАВНИЙ ПРОФЕСІЙНО-ТЕХНІЧНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ЧЕРВОНЕНСЬКЕ ВИЩЕ ПРОФЕСІЙНЕ УЧИЛИЩЕ""","80733 ЛЬВІВСЬКА ОБЛ., ЗОЛОЧІВСЬКИЙ Р-Н, С.ЧЕРВОНЕ, ВУЛ.ЛЬВІВСЬКА, БУД. 17 А",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,40
829,05537957,ПРОФЕСІЙНО-ТЕХНІЧНЕ УЧИЛИЩЕ №8,"58023 М.ЧЕРНІВЦІ, ВУЛ.РУСЬКА, БУД. 198",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,4
830,05537169,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД "" ПОГІРЦІВСЬКЕ ВИЩЕ ПРОФЕСІЙНЕ УЧИЛИЩЕ""","81445 ЛЬВІВСЬКА ОБЛ., САМБІРСЬКИЙ Р-Н, С.ПОГІРЦІ, ВУЛ.ЦЕНТРАЛЬНА, БУД. 2",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,36
831,05537176,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""УГНІВСЬКИЙ АГРАРНО-БУДІВЕЛЬНИЙ ЛІЦЕЙ""","80064 ЛЬВІВСЬКА ОБЛ., СОКАЛЬСЬКИЙ Р-Н, М.УГНІВ, ВУЛ.ЖУКОВСЬКИХ, БУД. 8",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,41
832,05537182,БОРИНСЬКИЙ ПРОФЕСІЙНИЙ ЛІЦЕЙ НАРОДНИХ ПРОМИСЛІВ І РЕМЕСЕЛ,"82547 ЛЬВІВСЬКА ОБЛ., ТУРКІВСЬКИЙ Р-Н, СМТ БОРИНЯ, ВУЛ.ВОЯКІВ УПА, БУД. 1",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,12
833,05537207,"ДЕРЖАВНИЙ ПРОФЕСІЙНО-ТЕХНІЧНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""НИЖАНКОВИЦЬКИЙ ПРОФЕСІЙНИЙ ЛІЦЕЙ""","82011 ЛЬВІВСЬКА ОБЛ., СТАРОСАМБІРСЬКИЙ Р-Н, СМТ НИЖАНКОВИЧІ, ВУЛ.ШЕВЧЕНКА, БУД. 63",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,50
834,05537213,ЖИДАЧІВСЬКИЙ ПРОФЕСІЙНИЙ ЛІЦЕЙ,"81700 ЛЬВІВСЬКА ОБЛ., ЖИДАЧІВСЬКИЙ Р-Н, М.ЖИДАЧІВ, ВУЛ.ГРЮНВАЛЬДСЬКА, БУД. 80",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,16
835,05537242,МИКОЛАЇВСЬКИЙ ПРОФЕСІЙНИЙ ПРОМИСЛОВИЙ ЛІЦЕЙ,"54028 М.МИКОЛАЇВ, ІНГУЛЬСЬКИЙ Р-Н, ВУЛ.ВІНГРАНОВСЬКОГО, БУД. 62",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,8
836,21295146,НОВОКАХОВСЬКИЙ ПРИЛАДОБУДІВНИЙ ФАХОВИЙ КОЛЕДЖ,"74900 ХЕРСОНСЬКА ОБЛ., М.НОВА КАХОВКА, ПРОСПЕКТ ПЕРЕМОГИ, БУД. 11",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,3
837,05537259,ВОЗНЕСЕНСЬКИЙ ПРОФЕСІЙНИЙ ЛІЦЕЙ,"56500 МИКОЛАЇВСЬКА ОБЛ., М.ВОЗНЕСЕНСЬК, ВУЛ.КИЇВСЬКА, БУД. 279",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,10
838,05537288,ВИЩЕ ПРОФЕСІЙНЕ УЧИЛИЩЕ №21 М.МИКОЛАЄВА,"54055 М.МИКОЛАЇВ, ЗАВОДСЬКИЙ Р-Н, ВУЛ.САДОВА, БУД. 31, КОРП. 2",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,19
839,05537302,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ПЕРВОМАЙСЬКИЙ ПРОФЕСІЙНИЙ ПРОМИСЛОВИЙ ЛІЦЕЙ""","55210 МИКОЛАЇВСЬКА ОБЛ., М.ПЕРВОМАЙСЬК, ВУЛ.КОРАБЕЛЬНА, БУД. 20/2",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,7
840,05537319,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ОДЕСЬКЕ ПРОФЕСІЙНЕ УЧИЛИЩЕ ЗАЛІЗНИЧНОГО ТРАНСПОРТУ ТА БУДІВНИЦТВА""","65045 М.ОДЕСА, ПРИМОРСЬКИЙ Р-Н, ВУЛ.ВЕЛИКА АРНАУТСЬКА, БУД. 68",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,1
841,05537093,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""СТАВРОПІГІЙСЬКЕ ВИЩЕ ПРОФЕСІЙНЕ УЧИЛИЩЕ М.ЛЬВОВА""","79008 М.ЛЬВІВ, ГАЛИЦЬКИЙ Р-Н, ВУЛ.ІВАНА ФЕДОРОВА, БУД. 9",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,3
842,02548133,ЛЮБОТИНСЬКИЙ ПРОФЕСІЙНИЙ ЛІЦЕЙ ЗАЛІЗНИЧНОГО ТРАНСПОРТУ,"62433 ХАРКІВСЬКА ОБЛ., М.ЛЮБОТИН, ВУЛ.ШЕВЧЕНКА, БУД. 130",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,11
843,13942577,ЧУТІВСЬКЕ ПРОФЕСІЙНО-ТЕХНІЧНЕ УЧИЛИЩЕ №55,"38800 ПОЛТАВСЬКА ОБЛ., ЧУТІВСЬКИЙ Р-Н, СМТ ЧУТОВЕ, ВУЛ.ПОЛТАВСЬКИЙ ШЛЯХ, БУД. 33 А",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,12
844,20578793,"ДЕРЖАВНИЙ ПРОФЕСІЙНО-ТЕХНІЧНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ФАСТІВСЬКИЙ ЦЕНТР ПРОФЕСІЙНО-ТЕХНІЧНОЇ ОСВІТИ""","8500 КИЇВСЬКА ОБЛ., М.ФАСТІВ, ВУЛ.ЯКУБОВСЬКОГО, БУД. 66",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,13
845,20578770,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ТЕТІЇВСЬКЕ ПРОФЕСІЙНО-ТЕХНІЧНЕ УЧИЛИЩЕ ""","9800 КИЇВСЬКА ОБЛ., ТЕТІЇВСЬКИЙ Р-Н, М.ТЕТІЇВ, ВУЛ.ЛЕНІНА, БУД. 100",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,9
846,20568004,КОЛОМИЙСЬКИЙ ІНДУСТРІАЛЬНО-ПЕДАГОГІЧНИЙ ТЕХНІКУМ,"78200 ІВАНО-ФРАНКІВСЬКА ОБЛ., М.КОЛОМИЯ, ВУЛ.МИКОЛИ ЛИСЕНКА, БУД. 11",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,5
847,20551436,ВИЩЕ ПРОФЕСІЙНЕ УЧИЛИЩЕ №21 М.ІВАНО-ФРАНКІВСЬКА,"76492 М.ІВАНО-ФРАНКІВСЬК, ВУЛ.ТИСМЕНИЦЬКА, БУД. 248",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,3
848,20520397,КОМИШУВАСЬКА ШКОЛА СОЦІАЛЬНОЇ РЕАБІЛІТАЦІЇ МІНІСТЕРСТВА ОСВІТИ І НАУКИ УКРАЇНИ,"70530 ЗАПОРІЗЬКА ОБЛ., ОРІХІВСЬКИЙ Р-Н, СМТ КОМИШУВАХА, ВУЛ.СЕВАСТОПОЛЬСЬКА, БУД. 17",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,35
849,14072300,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ВИРОБНИЧО-БУДІВЕЛЬНЕ ОБ'ЄДНАННЯ""","1135 М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ Р-Н, ПРОСПЕКТ ПЕРЕМОГИ, БУД. 10",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,7
850,14084302,ІНСТИТУТ ІОНОСФЕРИ,"61002 М.ХАРКІВ, КИЇВСЬКИЙ Р-Н, ВУЛ.КИРПИЧОВА, БУД. 16",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,24
851,14209459,БАГАТОПРОФІЛЬНИЙ РЕГІОНАЛЬНИЙ ЦЕНТР ПРОФЕСІЙНОЇ ОСВІТИ У ЧЕРКАСЬКІЙ ОБЛАСТІ,"20540 ЧЕРКАСЬКА ОБЛ., КАТЕРИНОПІЛЬСЬКИЙ Р-Н, С.МОКРА КАЛИГІРКА, ВУЛ.ШКІЛЬНА, БУД. 21",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,38
852,20507735,ЗАПОРІЗЬКИЙ АВІАЦІЙНИЙ КОЛЕДЖ ІМ. О. Г. ІВЧЕНКА,"69068 М.ЗАПОРІЖЖЯ, ШЕВЧЕНКІВСЬКИЙ Р-Н, ВУЛ.ІВАНОВА, БУД. 97-Б",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,36
853,05537851,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""СМІЛЯНСЬКИЙ ЦЕНТР ПІДГОТОВКИ І ПЕРЕПІДГОТОВКИ РОБІТНИЧИХ КАДРІВ""","20700 ЧЕРКАСЬКА ОБЛ., М.СМІЛА, ВУЛ.МАЗУРА, БУД. 26",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,24
854,20507184,"ДЕРЖАВНИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""ОСИПЕНКІВСЬКИЙ ПРОФЕСІЙНИЙ АГРАРНИЙ ЛІЦЕЙ""","71160 ЗАПОРІЗЬКА ОБЛ., БЕРДЯНСЬКИЙ Р-Н, С.ОСИПЕНКО, ВУЛ.СУВОРОВА, БУД. 11",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,25
855,20650438,ПІЩАНОБРІДСЬКИЙ ПРОФЕСІЙНИЙ АГРАРНИЙ ЛІЦЕЙ,"27037 КІРОВОГРАДСЬКА ОБЛ., ДОБРОВЕЛИЧКІВСЬКИЙ Р-Н, С.ПІЩАНИЙ БРІД, ВУЛ.НЕЗАЛЕЖНОСТІ, БУД. 1",11085,МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ ,26
