№ з/п,Код за ЄДРПОУ балансоутримувача,Повне найменування балансоутримувача,Місцезнаходження балансоутримувача,Код суб'єкта управління майном,Назва суб'єкта управління майном,"Кількість нерухомого державного майна (будівель та споруд), крім майна, розташованого на території АР Крим тв м. Севастополя"
11,04051112,ТРОСТЯНЕЦЬКА РАЙОННА ДЕРЖАВНА АДМІНІСТРАЦІЯ,"24300 ВІННИЦЬКА ОБЛ., ТРОСТЯНЕЦЬКИЙ Р-Н, СМТ ТРОСТЯНЕЦЬ, ВУЛ.СОБОРНА, БУД. 37",0100505,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ВІННИЦЬКІЙ ОБЛАСТІ ,1
12,04051164,ЯМПІЛЬСЬКА РАЙОННА ДЕРЖАВНА АДМІНІСТРАЦІЯ,"24500 ВІННИЦЬКА ОБЛ., ЯМПІЛЬСЬКИЙ Р-Н, М.ЯМПІЛЬ, ВУЛ.СВОБОДИ, БУД. 132",0100505,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ВІННИЦЬКІЙ ОБЛАСТІ ,3
13,04051218,ШАРГОРОДСЬКА РАЙОННА ДЕРЖАВНА АДМІНІСТРАЦІЯ ВІННИЦЬКОЇ ОБЛАСТІ,"23500 ВІННИЦЬКА ОБЛ., ШАРГОРОДСЬКИЙ Р-Н, М.ШАРГОРОД, ВУЛ.ГЕРОЇВ МАЙДАНУ, БУД. 224",0100505,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ВІННИЦЬКІЙ ОБЛАСТІ ,2
14,40159685,ДЕПАРТАМЕНТ СОЦІАЛЬНОЇ ТА МОЛОДІЖНОЇ ПОЛІТИКИ ВІННИЦЬКОЇ ОБЛАСНОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,"21036 М.ВІННИЦЯ, ВУЛ.ХМЕЛЬНИЦЬКЕ ШОСЕ, БУД. 7",0100505,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ВІННИЦЬКІЙ ОБЛАСТІ ,1
15,25983423,"АДМІНІСТРАЦІЯ ДЕРЖАВНОГО ІСТОРИКО-КУЛЬТУРНОГО ЗАПОВІДНИКА ""БУША""","24523 ВІННИЦЬКА ОБЛ., ЯМПІЛЬСЬКИЙ Р-Н, С.БУША",0100505,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ВІННИЦЬКІЙ ОБЛАСТІ ,3
16,03191940,УПРАВЛІННЯ СОЦІАЛЬНОГО ЗАХИСТУ НАСЕЛЕННЯ ЖМЕРИНСЬКОЇ РАЙОННОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,"23100 ВІННИЦЬКА ОБЛ., М.ЖМЕРИНКА, ВУЛ.ЦЕНТРАЛЬНА, БУД. 7",0100505,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ВІННИЦЬКІЙ ОБЛАСТІ ,1
17,03191791,УПРАВЛІННЯ ПРАЦІ ТА СОЦІАЛЬНОГО ЗАХИСТУ НАСЕЛЕННЯ ЧЕЧЕЛЬНИЦЬКОЇ РАЙДЕРЖАДМІНІСТРАЦІЇ,"24800 ВІННИЦЬКА ОБЛ., ЧЕЧЕЛЬНИЦЬКИЙ Р-Н, СМТ ЧЕЧЕЛЬНИК, ВУЛ.ПАРКОВА, БУД. 2",0100505,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ВІННИЦЬКІЙ ОБЛАСТІ ,1
18,43723537,УПРАВЛІННЯ МІСТОБУДУВАННЯ ТА АРХІТЕКТУРИ ВІННИЦЬКОЇ ОБЛАСНОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,"21050 М.ВІННИЦЯ, ВУЛ.ТЕАТРАЛЬНА, БУД. 14",0100505,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ВІННИЦЬКІЙ ОБЛАСТІ ,6
19,03084718,ЛІТИНСЬКА РАЙОННА ДЕРЖАВНА АДМІНІСТРАЦІЯ,"22300 ВІННИЦЬКА ОБЛ., ЛІТИНСЬКИЙ Р-Н, СМТ ЛІТИН, ВУЛ.СОБОРНА, БУД. 7",0100505,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ВІННИЦЬКІЙ ОБЛАСТІ ,2
20,03191928,УПРАВЛІННЯ ПРАЦІ ТА СОЦІАЛЬНОГО ЗАХИСТУ НАСЕЛЕННЯ ВІННИЦЬКОЇ РАЙОННОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,"21032 М.ВІННИЦЯ, ВУЛ.ГРИБОЄДОВА, БУД. 10-А",0100505,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ВІННИЦЬКІЙ ОБЛАСТІ ,1
21,20098691,"ДЕПАРТАМЕНТ З ПИТАНЬ ОБОРОННОЇ РОБОТИ, ЦИВІЛЬНОГО ЗАХИСТУ ТА ВЗАЄМОДІЇ З ПРАВООХОРОННИМИ ОРГАНАМИ ВІННИЦЬКОЇ ОБЛАСНОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ","21050 М.ВІННИЦЯ, ВУЛ.МОНАСТИРСЬКА, БУД. 26",0100505,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ВІННИЦЬКІЙ ОБЛАСТІ ,1
22,03191851,УПРАВЛІННЯ СОЦІАЛЬНОЇ ПОЛІТИКИ БАРСЬКОЇ РАЙОННОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,"23000 ВІННИЦЬКА ОБЛ., БАРСЬКИЙ Р-Н, М.БАР, ПЛОЩА ПАМ'ЯТІ, БУД. 17",0100505,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ВІННИЦЬКІЙ ОБЛАСТІ ,1
23,04051201,КОЗЯТИНСЬКА РАЙОННА ДЕРЖАВНА АДМІНІСТРАЦІЯ,"22100 ВІННИЦЬКА ОБЛ., М.КОЗЯТИН, ПЛОЩА ГЕРОЇВ МАЙДАНУ, БУД. 20",0100505,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ВІННИЦЬКІЙ ОБЛАСТІ ,1
24,03191733,УПРАВЛІННЯ СОЦІАЛЬНОГО ЗАХИСТУ НАСЕЛЕННЯ ЯМПІЛЬСЬКОЇ РАЙОННОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,"24500 ВІННИЦЬКА ОБЛ., ЯМПІЛЬСЬКИЙ Р-Н, М.ЯМПІЛЬ, ВУЛ.ЗАМКОВА, БУД. 88",0100505,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ВІННИЦЬКІЙ ОБЛАСТІ ,3
25,23020198,ДЕРЖАВНЕ РОЖИЩЕНСЬКЕ СПЕЦІАЛІЗОВАНЕ ЛІСОГОСПОДАРСЬКЕ ПІДПРИЄМСТВО,"45100 ВОЛИНСЬКА ОБЛ., РОЖИЩЕНСЬКИЙ Р-Н, М.РОЖИЩЕ, ВУЛ.ГАГАРІНА, БУД. 55",0100507,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ВОЛИНСЬКІЙ ОБЛАСТІ ,6
26,04051491,ТУРІЙСЬКА РАЙОННА ДЕРЖАВНА АДМІНІСТРАЦІЯ ВОЛИНСЬКОЇ ОБЛАСТІ,"44800 ВОЛИНСЬКА ОБЛ., ТУРІЙСЬКИЙ Р-Н, СМТ ТУРІЙСЬК, МАЙД.ЦЕНТРАЛЬНИЙ, БУД. 5",0100507,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ВОЛИНСЬКІЙ ОБЛАСТІ ,5
27,38527740,УПРАВЛІННЯ МІСТОБУДУВАННЯ ТА АРХІТЕКТУРИ ВОЛИНСЬКОЇ ОБЛАСНОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,"43027 М.ЛУЦЬК, МАЙД.КИЇВСЬКИЙ, БУД. 9",0100507,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ВОЛИНСЬКІЙ ОБЛАСТІ ,1
28,13347923,АДМІНІСТРАЦІЯ ДЕРЖАВНОГО ІСТОРИКО-КУЛЬТУРНОГО ЗАПОВІДНИКА У М.ЛУЦЬКУ,"43016 М.ЛУЦЬК, ВУЛ.ДРАГОМАНОВА, БУД. 23",0100507,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ВОЛИНСЬКІЙ ОБЛАСТІ ,21
29,04051394,КІВЕРЦІВСЬКА РАЙОННА ДЕРЖАВНА АДМІНІСТРАЦІЯ,"45200 ВОЛИНСЬКА ОБЛ., КІВЕРЦІВСЬКИЙ Р-Н, М.КІВЕРЦІ, ВУЛ.НЕЗАЛЕЖНОСТІ, БУД. 20",0100507,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ВОЛИНСЬКІЙ ОБЛАСТІ ,2
30,04051402,КОВЕЛЬСЬКА РАЙОННА ДЕРЖАВНА АДМІНІСТРАЦІЯ ВОЛИНСЬКОЇ ОБЛАСТІ,"45000 ВОЛИНСЬКА ОБЛ., М.КОВЕЛЬ, ВУЛ.НЕЗАЛЕЖНОСТІ, БУД. 73",0100507,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ВОЛИНСЬКІЙ ОБЛАСТІ ,1
31,04051454,МАНЕВИЦЬКА РАЙОННА ДЕРЖАВНА АДМІНІСТРАЦІЯ,"44600 ВОЛИНСЬКА ОБЛ., МАНЕВИЦЬКИЙ Р-Н, СМТ МАНЕВИЧІ, ВУЛ.НЕЗАЛЕЖНОСТІ, БУД. 30",0100507,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ВОЛИНСЬКІЙ ОБЛАСТІ ,1
32,04051460,РАТНІВСЬКА РАЙОННА ДЕРЖАВНА АДМІНІСТРАЦІЯ,"44100 ВОЛИНСЬКА ОБЛ., РАТНІВСЬКИЙ Р-Н, СМТ РАТНЕ, ВУЛ.ЦЕНТРАЛЬНА, БУД. 19",0100507,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ВОЛИНСЬКІЙ ОБЛАСТІ ,1
33,04051359,ВОЛОДИМИР-ВОЛИНСЬКА РАЙОННА ДЕРЖАВНА АДМІНІСТРАЦІЯ ВОЛИНСЬКОЇ ОБЛАСТІ,"44700 ВОЛИНСЬКА ОБЛ., М.ВОЛОДИМИР-ВОЛИНСЬКИЙ, ВУЛ.НЕБЕСНОЇ СОТНІ, БУД. 3",0100507,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ВОЛИНСЬКІЙ ОБЛАСТІ ,1
34,42304390,ДЕПАРТАМЕНТ РЕГІОНАЛЬНОГО РОЗВИТКУ ТА ЖИТЛОВО-КОМУНАЛЬНОГО ГОСПОДАРСТВА ВОЛИНСЬКОЇ ОБЛАСНОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,"43027 М.ЛУЦЬК, МАЙД.КИЇВСЬКИЙ, БУД. 9",0100507,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ВОЛИНСЬКІЙ ОБЛАСТІ ,564
35,00730230,ВІДДІЛ АГРОПРОМИСЛОВОГО РОЗВИТКУ ІВАНИЧІВСЬКОЇ РАЙОННОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,"45300 ВОЛИНСЬКА ОБЛ., ІВАНИЧІВСЬКИЙ Р-Н, СМТ ІВАНИЧІ, ВУЛ.ГРУШЕВСЬКОГО, БУД. 23",0100507,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ВОЛИНСЬКІЙ ОБЛАСТІ ,2
36,03192098,УПРАВЛІННЯ СОЦІАЛЬНОГО ЗАХИСТУ НАСЕЛЕННЯ МАНЕВИЦЬКОЇ РАЙОННОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,"44600 ВОЛИНСЬКА ОБЛ., МАНЕВИЦЬКИЙ Р-Н, СМТ МАНЕВИЧІ, ВУЛ.100-РІЧЧЯ МАНЕВИЧ, БУД. 53",0100507,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ВОЛИНСЬКІЙ ОБЛАСТІ ,1
