№ з/п,Орган управління,,Балансоутримувач,,,,,"Інформація щодо потенційного об""єкта оренди",,,,,,,,,,
,Код,Назва,Код за ЄДРПОУ,Назва,Юридична адреса,Контактний телефон,Регіон,Назва,Місцезнаходження,"Код класифікатора об""єкта адміністративно-територіального устрою України",Пропозиції щодо використання,Характеристика,"Площа, кв.м",,,,,
14,28774,Державна казначейська служба України,37337576,УДКСУ у Теплицькому районі Вінницької області,"Вінницька обл., Теплицький р-н, смт. Теплик, вул.Незалежності, 41","(253) 2-11-55, 2- 13- 59",05,Гаражі,"Вінницька обл., Теплицький р-н, смт. Теплик, вул. Незалежності, 41",0500000000,За цільовим призначенням або як склад,Цегляна одноповерхова будівля. Потребує поточного ремонту,"107,8",,,,,
15,28774,Державна казначейська служба України,37897753,Управління Державної казначейської служби України у Тульчинському районі Вінницької області,Вінницька область Тульчинський  район  м.Тульчин  вул. Миколи Леонтовича 47 ,(04335) 64585,05,частина адмінбудівлі,Вінницька область Тульчинський  район  м.Тульчин  вул.Миколи Леонтовича 47 ,0500000000,для розміщення офісного приміщення,П'ять кабінетів на другому поверсі.  Один кабінет прохідний з відсутнім опаленням.,"62,9",,,,,
16,28774,Державна казначейська служба України,37730494,Управління Державної казначейської служби у Хмільницькому районі та м.Хмільнику Вінницької області,"Вінницька область Хмільницький район м.Хмільник вул.Літописна,11",(04338)2-26-41,05,частина адмінбудівлі,"Вінницька область Хмільницький район м.Хмільник вул.Літописна,11",0510900000,для розміщення офісних приміщень,"будівля з газопостачанням, електропостачанням,водовідведенням, яка потребує поточного ремонту","653,95",,,,,
17,28774,Державна казначейська служба України,37730494,Управління Державної казначейської служби у Хмільницькому районі та м.Хмільнику Вінницької області,"Вінницька область Хмільницький район м.Хмільник вул.Літописна,11",(04338)2-26-41,05,гараж,"Вінницька область Хмільницький район м.Хмільник вул.Літописна,11",0510900000,під гараж,металевий,30,,,,,
18,28774,Державна казначейська служба України,37730494,Управління Державної казначейської служби у Хмільницькому районі та м.Хмільнику Вінницької області,"Вінницька область Хмільницький район м.Хмільник вул.Літописна,11",(04338)2-26-41,05,гараж,"Вінницька область Хмільницький район м.Хмільник вул.Літописна,11",0510900000,під гараж,металевий,"19,1",,,,,
19,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,В/с водоспуск дон.,"Вінницька обл., Гайсинський р-н., в межах Нараївської с/р., на території с. Нараївка",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
20,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,В/с водоспуск дон.,"Вінницька обл., Іллінецький р-н., в межах Купчинецької с/р., на території с. Желіхово",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
21,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Верхов. Пр. Важне,"Вінницька обл., Теплицький р-н, в межах земель Степанівської с/р, на території с. Важне",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
22,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Верховина №2 кам.,"Вінницька обл., Гайсинський р-н., в межах Нараївської с/р., на території с. Нараївка",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
23,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Верховинна споруда водопостачального ставка,"Вінницька обл., Бершадський р-н, територія Великокиріївської сільської ради",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
24,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водовипуск  виросного ставу №3,"Вінницька обл., Бершадський р-н, с. Велика Киріївка, вул. Шевченка №218",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
25,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водовипуск  виросного ставу №4,"Вінницька обл., Бершадський р-н, с. Устя, вул. Набережна №82",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
26,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водовипуск  виросного ставу №6,"Вінницька обл., Бершадський р-н, с. Устя, вул. Набережна №83",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
27,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водовипуск 1 верховини,"Вінницька обл., Літинський р-н, Івчанська с/р., за межами с.Івча",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
28,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водовипуск №1 виросного ставу №2,"Вінницька обл., Бершадський р-н, с. Велика Киріївка, вул. Шевченка №219",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
29,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водовипуск №1 виросного ставу №5,"Вінницька обл., Бершадський р-н, с. Устя, вул. Набережна №84",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
30,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водовипуск №2 виросного ставу №2,"Вінницька обл., Бершадський р-н, с. Велика Киріївка, вул. Шевченка №220",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
31,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водовипуск №2 виросного ставу №5,"Вінницька обл., Бершадський р-н, с. Устя, вул. Набережна №85",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
32,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водовипуск зимувального ставу №1,"Вінницька обл., Бершадський р-н, с. Велика Киріївка, вул. Шевченка №221",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
33,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водовипуск зимувального ставу №2,"Вінницька обл., Бершадський р-н, с. Велика Киріївка, вул. Шевченка №222",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
34,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водовипуск зимувального ставу №3,"Вінницька обл., Бершадський р-н, с. Велика Киріївка, вул. Шевченка №223",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
35,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водовипуск зимувального ставу №4,"Вінницька обл., Бершадський р-н, с. Велика Киріївка, вул. Шевченка №224",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
36,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водовипуск зимувального ставу №5,"Вінницька обл., Бершадський р-н, с. Велика Киріївка, вул. Шевченка №225",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
37,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водовипуск зимувального ставу №6,"Вінницька обл., Бершадський р-н, с. Велика Киріївка, вул. Шевченка №226",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
38,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,"Водовипуск, водонапуск","Вінницька обл., Літинський р-н, в межах земель Микулинецької с/р, на території с. Микулинці",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
39,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,"Водовипуск, водонапуск з/б","Вінницька обл., Літинський р-н, в межах земель Микулинецької с/р, на території с. Микулинці",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
40,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,"Водовипуск, водонапуск з/б","Вінницька обл., Літинський р-н, Івчанська с/р., за межами с. Івча",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
41,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водонапуск  виросного ставу №4,"Вінницька обл., Бершадський р-н, с. Устя, вул. Набережна №86",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
42,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водонапуск  виросного ставу №6,"Вінницька обл., Бершадський р-н, с. Устя, вул. Набережна №87",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
43,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водонапуск  водопостачального каналу №1,"Вінницька обл., Бершадський р-н, с. Велика Киріївка, вул. Шевченка №227",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
44,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водонапуск №1 виросного ставу №2,"Вінницька обл., Бершадський р-н, с. Велика Киріївка, вул. Шевченка №228",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
45,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водонапуск №1 виросного ставу №3,"Вінницька обл., Бершадський р-н, с. Велика Киріївка, вул. Шевченка №229",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
46,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водонапуск №1 виросного ставу №5,"Вінницька обл., Бершадський р-н, с. Устя, вул. Набережна №88",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
47,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водонапуск №2 виросного ставу №2,"Вінницька обл., Бершадський р-н, с. Велика Киріївка, вул. Шевченка №230",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
48,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водонапуск №2 виросного ставу №3,"Вінницька обл., Бершадський р-н, с. Велика Киріївка, вул. Шевченка №231",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
49,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водонапуск №2 виросного ставу №5,"Вінницька обл., Бершадський р-н, с. Устя, вул. Набережна №89",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
50,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водонапуск зимувального ставу №1,"Вінницька обл., Бершадський р-н, с. Велика Киріївка, вул. Шевченка №232",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
51,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водонапуск зимувального ставу №2,"Вінницька обл., Бершадський р-н, с. Велика Киріївка, вул. Шевченка №233",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
52,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водонапуск зимувального ставу №3,"Вінницька обл., Бершадський р-н, с. Велика Киріївка, вул. Шевченка №234",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
53,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водонапуск зимувального ставу №4,"Вінницька обл., Бершадський р-н, с. Велика Киріївка, вул. Шевченка №235",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
54,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водонапуск зимувального ставу №5,"Вінницька обл., Бершадський р-н, с. Велика Киріївка, вул. Шевченка №236",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
55,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водонапуск зимувального ставу №6,"Вінницька обл., Бершадський р-н, с. Велика Киріївка, вул. Шевченка №237",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
56,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водопостачальний канал №1,"Вінницька обл., Бершадський р-н, с. Велика Киріївка, вул. Шевченка №238",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
57,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водопостачальний канал №2,"Вінницька обл., Бершадський р-н, с. Устя, вул. Набережна №90",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
58,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водоспуск 1-9 залізний,"Вінницька обл., Іллінецький р-н, в межах Леухівської с/р., на території с. Леухи",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
59,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водоспуск Гуральні,"Вінницька обл., Гайсинський р-н., в межах Нараївської с/р., на території с. Нараївка",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
60,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водоспуск дон. нерестяники,"Вінницька обл., Гайсинський р-н., в межах Нараївської с/р., на території с. Нараївка",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
61,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водоспуск донний,"Вінницька обл., Гайсинський р-н., в межах Нараївської с/р., на території с. Нараївка",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
62,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водоспуск донний,"Вінницька обл., Гайсинський р-н., в межах Нараївської с/р., на території с. Нараївка",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
63,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водоспуск залізний,"Вінницька обл., Іллінецький р-н, в межах Леухівської с/р., на території с. Леухи",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
64,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водоспуск кам. н/с,"Вінницька обл., Іллінецький р-н., в межах Китайгородської с/р., на території с. Китайгород",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
65,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Водоспуск кам. наг. став,"Вінницька обл., Іллінецький р-н., в межах Дашівської с/р., да межами с.м.т. Дашів",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
66,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,"Водоспуск, водовипуск з/б","Вінницька обл., Літинський р-н, Івчанська с/р., за межами с. Івча",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
67,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Гребля вир. ставки,"Вінницька обл., Іллінецький р-н., в межах Купчинецької с/р., на території с. Желіхово",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
68,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Гребля земл. ставка Микулинці,"Вінницька обл., Літинський р-н, в межах земель Микулинецької с/р, на території с. Микулинці",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
69,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Гребля земляна,"Вінницька обл., Літинський р-н, Івчанська с/р., за межами с. Івча",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
70,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Гребля земляна в/с,"Вінницька обл., Іллінецький р-н., в межах Кантилівської с/р., на території с. Кантилина",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
71,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Гребля земляна г/с,"Вінницька обл., Іллінецький р-н., в межах Слободищенської с/р., на території с. Слободище",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
72,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Гребля н/с Важне,"Вінницька обл., Теплицький р-н, в межах земель Степанівської с/р, на території с. Важне",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
73,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Гребля н/с Плотин. земл.,"Вінницька обл., Іллінецький р-н.,  в межах Городоцької с/р., на території с. Городок",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
74,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Гребля наг. став,"Вінницька обл., Іллінецький р-н., в межах Китайгородської с/р., на території с. Китайгород",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
75,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Гребля наг. ставок,"Вінницька обл., Іллінецький р-н, в межах Леухівської с/р., на території с. Леухи",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
76,38194,Державне агентство рибного господарства України,25592421,"ДП ""Укрриба""","04050, м. Київ, вул. Тургенєвська, 82 а","486-07-91, 486-99-40",05,Гребля наг. ставок,"Вінницька обл., Літинський р-н, Івчанська с/р., за межами с. Івча",0500000000,для риборозведення,гідротехнічні споруди,,,,,,
