№ з/п,Орган управління,,Балансоутримувач,,,,,"Інформація щодо потенційного об""єкта оренди",,,,,,,,,,
,Код,Назва,Код за ЄДРПОУ,Назва,Юридична адреса,Контактний телефон,Регіон,Назва,Місцезнаходження,"Код класифікатора об""єкта адміністративно-територіального устрою України",Пропозиції щодо використання,Характеристика,"Площа, кв.м",,,,,
1,100505,Вінницька обласна державна адміністрація,39578073,"Департамент будівництва, містобудування та архітектури Вінницької обласної державної  адміністрації ","21050, м. Вінниця,  вул. Театральна, 14","(0432) 67-09-30, 56-20-53",05,"Комплекс будівель та споруд ""Електростанція та млин"": ""Електростанція та млин""","Вінницька обл.,  Немирівський р-н,  с. Сокілець вул. Михайлівська (колишня - Леніна), 130/2",0500000000,"Комерційне використання: для розміщення об’єктів туристичної інфраструктури та оздоровчо-рекреаційного призначення (зокрема, готельно-туристичного комплексу, кемпінгу, бази відпочинку, тощо), закладів громадського харчування та торгівлі,   культурно-просвітницького обслуговування, тощо.
Розміщення нешкідливого виробництва, що не є джерелом забруднення навколишнього середовища (атмосферного повітря, поверхневих та підземних вод, тощо).",Потребує ремонтно-реставраційних робіт та переобладнання під майбутнє використання Відновлення роботи електростанції.,"555,7",,,,,
2,100505,Вінницька обласна державна адміністрація,39578073,"Департамент будівництва, містобудування та архітектури Вінницької обласної державної  адміністрації ","21050, м. Вінниця,  вул. Театральна, 14","(0432) 67-09-30, 56-20-53",05,"Комплекс будівель та споруд ""Електростанція та млин"":  ""Крупорушка"" ","Вінницька обл.,  Немирівський р-н,  с. Сокілець, вул. Михайлівська, 130/3",0500000000,"Комерційне використання: для розміщення об’єктів туристичної інфраструктури та оздоровчо-рекреаційного призначення (зокрема, готельно-туристичного комплексу, кемпінгу, бази відпочинку, тощо), закладів громадського харчування та торгівлі,   культурно-просвітницького обслуговування, тощо.
Розміщення нешкідливого виробництва, що не є джерелом забруднення навколишнього середовища (атмосферного повітря, поверхневих та підземних вод, тощо).",Потребує ремонтно-реставраційних робіт та переобладнання під майбутнє використання.,592,,,,,
3,100505,Вінницька обласна державна адміністрація,39578073,"Департамент будівництва, містобудування та архітектури Вінницької обласної державної  адміністрації ","21050, м. Вінниця,  вул. Театральна, 14","(0432) 67-09-30, 56-20-53",05,"Комплекс будівель та споруд ""Електростанція та млин"": ""Склад ""  ","Вінницька обл.,  Немирівський р-н,  с. Сокілець вул. Михайлівська, 130/1",0500000000,"Комерційне використання: для розміщення об’єктів туристичної інфраструктури та оздоровчо-рекреаційного призначення (зокрема, готельно-туристичного комплексу, кемпінгу, бази відпочинку, тощо), закладів громадського харчування та торгівлі,   культурно-просвітницького обслуговування, тощо.
Розміщення нешкідливого виробництва, що не є джерелом забруднення навколишнього середовища (атмосферного повітря, поверхневих та підземних вод, тощо).",Потребує ремонтно-реставраційних робіт та переобладнання під майбутнє використання.,"1310,6",,,,,
4,28604,"Державна служба України з питань геодезії, картографії та кадастру",42809403,"ДП ""Державний фонд геопросторових даних України""","м. Вінниця, 
вул.600-річчя, 19                    ",(043) 251-33-77,05,"Виробничий корпус 
Літера ""А"" приміщення №112-118, 148","м. Вінниця, 
вул.600-річчя, 19                    ",0500000000,РВ ФДМУ укладає договір оренди,"Виробничий корпус 
Літера ""А"" приміщення №112-118, 148","126,5",,,,,
5,28604,"Державна служба України з питань геодезії, картографії та кадастру",42809403,"ДП ""Державний фонд геопросторових даних України""","м. Вінниця, 
вул.600-річчя, 19                    ",(043) 251-33-77,05,"Виробничий корпус Літера ""А"" приміщення №51-63, 18-26 
на 1 та 2 поверхах виробничого корпусу","м. Вінниця, 
вул.600-річчя, 19                    ",0500000000,Приміщення їдальні,"Виробничий корпус 
Літера ""А"" приміщення №51-63, 18-26 на 1 та 2 поверхах виробничого корпусу, потребує ремонту","447,1",,,,,
6,28604,"Державна служба України з питань геодезії, картографії та кадастру",42809403,"ДП ""Державний фонд геопросторових даних України""","м. Вінниця, 
вул.600-річчя, 19                    ",(043) 251-33-77,05,№1 автостоянка,"м. Вінниця, 
вул.600-річчя, 19                    ",0500000000,Автостоянка,"Автостоянка, потребує ремонту","1315,0",,,,,
7,28604,"Державна служба України з питань геодезії, картографії та кадастру",42809403,"ДП ""Державний фонд геопросторових даних України""","м. Вінниця, 
вул.600-річчя, 19                    ",(043) 251-33-77,05,№ІІ спортивний майданчик на території підприємства,"м. Вінниця, 
вул.600-річчя, 19                    ",0500000000,Спортивний майданчик,"Спортивний майданчик на території підприємства, потребує ремонту","578,0",,,,,
8,28604,"Державна служба України з питань геодезії, картографії та кадастру",26336832,"Вінницька регіональна філія Державного підприємства  ""Центр державного земельного кадастру""","21050, Вінницька обл. м.Вінниця, вул.Соборна, буд. 15а",(0432) 61-15-73,05,Приміщення адміністративного будинку,"Вінницька обл., Липовецький р-н, м.Липовець, вул.Липківського Василя, буд. 57",0500000000,Офісне приміщення,Офісне приміщення,"49,2",,,,,
9,28774,Державна казначейська служба України,38027888,Управління Державної казначейської служби України у Барському районі Вінницької області,"Вінницька область, м.Бар, вул.Героїв Майдану, буд.№20",(241) 2-40-46,05,Частина приміщення,"Вінницька область, м.Бар, вул.Героїв Майдану, буд.№20",0500000000,Для розміщення офісних приміщень,"I поверх адмінбудівлі, забеспечений електропостачанням та водовідведенням ","23,6",,,,,
10,28774,Державна казначейська служба України,38027888,Управління Державної казначейської служби України у Барському районі Вінницької області,"Вінницька область, м.Бар, вул.Героїв Майдану, буд.№20",(241) 2-40-46,05,гараж,"Вінницька область, м.Бар, вул.Героїв Майдану, буд.№20",0500000000,Для розміщення транспорту,"Гараж , забеспечений електропостачанням та  потребує капітального ремонту  ","41,8",,,,,
11,28774,Державна казначейська служба України,37338187,Упраління Державної казначейської служби України у Крижопільському районі Вінницької області,"Вінницька обл., Крижопільський р-н, смт Крижопіль, вул. Соборна, 20",(4340) 21936,05,гараж,"Вінницька обл., Крижопільський р-н, смт Крижопіль, вул. Соборна, 20",0500000000,гараж,Опалення відсутнє. Обладнаний оглядовою ямою. ,"63,6",,,,,
12,28774,Державна казначейська служба України,38031302,Управління Державної казначейської служби України у Могилів-Подільському районі та м.Могилів-Подільському Вінницької області,"Вінницька область, м.Могилів-Подільський,Сагайдачного 1/30",(04337) 6-81-44,05,кімната під офіс,"Вінницька область, м.Могилів-Подільський,Сагайдачного 1/30",0500000000,кімната під офіс ,"Кімната нам 1 поверсі  3-х поверхової  нежитлової будівлі стіни заліз-бетон;  перекриття залізо-бетон, підлога цемент","4,9",,,,,
13,28774,Державна казначейська служба України,38031302,Управління Державної казначейської служби України у Могилів-Подільському районі та м.Могилів-Подільському Вінницької області,"Вінницька область, м.Могилів-Подільський,Сагайдачного 1/30",(04337) 6-81-44,05,гаражі,"Вінницька область, м.Могилів-Подільський,Сагайдачного 1/30",0500000000,"Об'єкти комунального призначення(склад,гараж)","Стіни заліз-бетон; покрівля рубіроід, перекриття залізо-бетон, підлога цемент","50,3",,,,,
